Lead ID,Contact Type,Contact Value,Contact Source,Verified At,Run ID,Campaign ID
N5K-0105,Phone,+7 (495) 136-27-90,https://www.cbr.ru/finorg/foinfo/?ogrn=1227700402962,2026-08-09T03:08:00+03:00,N5K-20260809-133,new_5000
N5K-0105,Email,info@qliqinvest.ru,https://www.cbr.ru/finorg/foinfo/?ogrn=1227700402962,2026-08-09T03:08:00+03:00,N5K-20260809-133,new_5000
N5K-0105,Vacancy,https://hh.ru/vacancy/129808974,https://hh.ru/vacancy/129808974,2026-08-09T03:08:00+03:00,N5K-20260809-133,new_5000
N5K-0105,Form,https://qliqinvest.ru/,https://qliqinvest.ru/,2026-08-09T03:08:00+03:00,N5K-20260809-133,new_5000
N5K-0106,Phone,+7 (916) 666-23-35,https://marrob.ru/kontakty/,2026-08-09T03:08:00+03:00,N5K-20260809-133,new_5000
N5K-0106,Email,info@marrob.ru,https://marrob.ru/kontakty/,2026-08-09T03:08:00+03:00,N5K-20260809-133,new_5000
N5K-0106,Vacancy,https://hh.ru/vacancy/130209818,https://hh.ru/vacancy/130209818,2026-08-09T03:08:00+03:00,N5K-20260809-133,new_5000
N5K-0106,Form,https://marrob.ru/kontakty/,https://marrob.ru/kontakty/,2026-08-09T03:08:00+03:00,N5K-20260809-133,new_5000
N5K-0107,Phone,+7 (495) 847-07-67,https://angfa.ru/,2026-08-09T03:08:00+03:00,N5K-20260809-133,new_5000
N5K-0107,Email,support@angfa.ru,https://angfa.ru/,2026-08-09T03:08:00+03:00,N5K-20260809-133,new_5000
N5K-0107,Vacancy,https://hh.ru/vacancy/129892065,https://hh.ru/vacancy/129892065,2026-08-09T03:08:00+03:00,N5K-20260809-133,new_5000
N5K-0107,Form,https://angfa.ru/,https://angfa.ru/,2026-08-09T03:08:00+03:00,N5K-20260809-133,new_5000
