Lead ID,Contact Type,Contact Value,Contact Source,Verified At,Run ID,Campaign ID
N5K-0243,HH,https://hh.ru/vacancy/130066730,https://hh.ru/vacancy/130066730,2026-08-15T16:10:32+03:00,N5K-20260815-237,new_5000
N5K-0244,Phone,+7 (499) 302-07-03,https://medalclinic.ru/,2026-08-15T16:10:32+03:00,N5K-20260815-237,new_5000
N5K-0244,Email,info@medalclinic.ru,https://medalclinic.ru/,2026-08-15T16:10:32+03:00,N5K-20260815-237,new_5000
N5K-0244,HH,https://hh.ru/vacancy/129665943,https://hh.ru/vacancy/129665943,2026-08-15T16:10:32+03:00,N5K-20260815-237,new_5000
N5K-0245,Phone,+7 495 902-54-01,https://cosyma.pro/,2026-08-15T16:10:32+03:00,N5K-20260815-237,new_5000
N5K-0245,Email,info@cosyma.pro,https://cosyma.pro/,2026-08-15T16:10:32+03:00,N5K-20260815-237,new_5000
N5K-0245,Phone,+7 977 089-10-02,https://cosyma.pro/,2026-08-15T16:10:32+03:00,N5K-20260815-237,new_5000
N5K-0245,Email,sales@cosyma.pro,https://cosyma.pro/,2026-08-15T16:10:32+03:00,N5K-20260815-237,new_5000
N5K-0245,HH,https://hh.ru/vacancy/129797037,https://hh.ru/vacancy/129797037,2026-08-15T16:10:32+03:00,N5K-20260815-237,new_5000
N5K-0246,Phone,+7 495 191-25-32,https://remont.io/,2026-08-15T16:10:32+03:00,N5K-20260815-237,new_5000
N5K-0246,Email,marketing@remont.io,https://remont.io/,2026-08-15T16:10:32+03:00,N5K-20260815-237,new_5000
N5K-0246,HH,https://hh.ru/vacancy/129372241,https://hh.ru/vacancy/129372241,2026-08-15T16:10:32+03:00,N5K-20260815-237,new_5000
