Run ID,Started At,Completed At,Campaign ID,Discovered,Qualified,Duplicates,Excluded,Current Canonical,Current Contactable,Integrity,Orphan Contacts,Orphan Evidence,Report
N5K-20260806-070,2026-08-06T12:02:16+03:00,2026-08-06T12:18:00+03:00,new_5000,30,0,14,16,42,42,PASS,0,0,reports/run_2026-08-06_070.md
N5K-20260806-071,2026-08-06T13:00:06+03:00,2026-08-06T13:14:00+03:00,new_5000,30,0,14,16,42,42,PASS,0,0,reports/run_2026-08-06_071.md
N5K-20260806-072,2026-08-06T13:58:40+03:00,2026-08-06T14:14:00+03:00,new_5000,30,1,13,16,43,43,PASS,0,0,reports/run_2026-08-06_072.md
N5K-20260806-073,2026-08-06T15:01:57+03:00,2026-08-06T15:16:00+03:00,new_5000,30,0,14,16,43,43,PASS,0,0,reports/run_2026-08-06_073.md
N5K-20260806-074,2026-08-06T15:07:33+03:00,2026-08-06T15:24:00+03:00,new_5000,30,1,13,16,44,44,PASS,0,0,reports/run_2026-08-06_074.md
N5K-20260806-075,2026-08-06T16:01:56+03:00,2026-08-06T16:18:00+03:00,new_5000,30,0,14,16,44,44,PASS,0,0,reports/run_2026-08-06_075.md
N5K-20260806-076,2026-08-06T17:02:12+03:00,2026-08-06T17:19:00+03:00,new_5000,30,1,13,16,45,45,PASS,0,0,reports/run_2026-08-06_076.md
N5K-20260806-077,2026-08-06T17:58:22+03:00,2026-08-06T18:18:00+03:00,new_5000,30,1,13,16,46,46,PASS,0,0,reports/run_2026-08-06_077.md
N5K-20260806-078,2026-08-06T18:59:06+03:00,2026-08-06T19:18:00+03:00,new_5000,30,1,13,16,47,47,PASS,0,0,reports/run_2026-08-06_078.md
N5K-20260806-079,2026-08-06T19:59:10+03:00,2026-08-06T20:18:00+03:00,new_5000,30,1,13,16,48,48,PASS,0,0,reports/run_2026-08-06_079.md
N5K-20260806-080,2026-08-06T21:01:27+03:00,2026-08-06T21:18:00+03:00,new_5000,30,0,14,16,48,48,PASS,0,0,reports/run_2026-08-06_080.md
N5K-20260806-081,2026-08-06T21:58:48+03:00,2026-08-06T22:18:00+03:00,new_5000,30,0,14,16,48,48,PASS,0,0,reports/run_2026-08-06_081.md
N5K-20260806-082,2026-08-06T22:59:15+03:00,2026-08-06T23:18:00+03:00,new_5000,30,0,14,16,48,48,PASS,0,0,reports/run_2026-08-06_082.md
N5K-20260807-083,2026-08-07T00:02:12+03:00,2026-08-07T00:18:00+03:00,new_5000,30,1,13,16,49,49,PASS,0,0,reports/run_2026-08-07_083.md
N5K-20260807-084,2026-08-07T01:01:43+03:00,2026-08-07T01:18:00+03:00,new_5000,30,0,14,16,49,49,PASS,0,0,reports/run_2026-08-07_084.md
N5K-20260807-085,2026-08-07T02:02:33+03:00,2026-08-07T02:18:00+03:00,new_5000,30,1,13,16,50,50,PASS,0,0,reports/run_2026-08-07_085.md
N5K-20260807-086,2026-08-07T03:03:39+03:00,2026-08-07T03:18:00+03:00,new_5000,30,0,14,16,50,50,PASS,0,0,reports/run_2026-08-07_086.md
N5K-20260807-087,2026-08-07T04:01:34+03:00,2026-08-07T04:18:00+03:00,new_5000,30,0,14,16,50,50,PASS,0,0,reports/run_2026-08-07_087.md
N5K-20260807-088,2026-08-07T05:00:47+03:00,2026-08-07T05:18:00+03:00,new_5000,30,1,13,16,51,51,PASS,0,0,reports/run_2026-08-07_088.md
N5K-20260807-089,2026-08-07T06:01:05+03:00,2026-08-07T06:17:00+03:00,new_5000,30,1,13,16,52,52,PASS,0,0,reports/run_2026-08-07_089.md
N5K-20260807-090,2026-08-07T07:03:53+03:00,2026-08-07T07:18:00+03:00,new_5000,30,1,13,16,53,53,PASS,0,0,reports/run_2026-08-07_090.md
N5K-20260807-091,2026-08-07T08:03:44+03:00,2026-08-07T08:18:00+03:00,new_5000,30,1,13,16,54,54,PASS,0,0,reports/run_2026-08-07_091.md
N5K-20260807-092,2026-08-07T09:03:04+03:00,2026-08-07T09:18:00+03:00,new_5000,30,1,13,16,55,55,PASS,0,0,reports/run_2026-08-07_092.md
N5K-20260807-093,2026-08-07T10:01:19+03:00,2026-08-07T10:01:19+03:00,new_5000,30,2,0,28,57,57,PASS,0,0,reports/run_2026-08-07_093.md
N5K-20260807-094,2026-08-07T11:03:48+03:00,2026-08-07T11:03:48+03:00,new_5000,30,1,0,29,58,58,PASS,0,0,reports/run_2026-08-07_094.md
N5K-20260807-095,2026-08-07T12:05:22+03:00,2026-08-07T12:05:22+03:00,new_5000,30,1,0,29,59,59,PASS,0,0,reports/run_2026-08-07_095.md
N5K-20260807-096,2026-08-07T12:59:43+03:00,2026-08-07T12:59:43+03:00,new_5000,30,1,0,29,60,60,PASS,0,0,reports/run_2026-08-07_096.md
N5K-20260807-097,2026-08-07T13:58:12+03:00,2026-08-07T13:58:12+03:00,new_5000,30,1,0,29,61,61,PASS,0,0,reports/run_2026-08-07_097.md
N5K-20260807-098,2026-08-07T14:59:50+03:00,2026-08-07T14:59:50+03:00,new_5000,30,1,0,29,62,62,PASS,0,0,reports/run_2026-08-07_098.md
N5K-20260807-099,2026-08-07T15:59:16+03:00,2026-08-07T15:59:16+03:00,new_5000,30,1,0,29,63,63,PASS,0,0,reports/run_2026-08-07_099.md
N5K-20260807-100,2026-08-07T16:59:55+03:00,2026-08-07T16:59:55+03:00,new_5000,30,1,0,29,64,64,PASS,0,0,reports/run_2026-08-07_100.md
N5K-20260807-101,2026-08-07T18:00:48+03:00,2026-08-07T18:00:48+03:00,new_5000,30,1,1,28,65,65,PASS,0,0,reports/run_2026-08-07_101.md
N5K-20260807-102,2026-08-07T19:01:07+03:00,2026-08-07T19:01:07+03:00,new_5000,30,2,1,27,67,67,PASS,0,0,reports/run_2026-08-07_102.md
N5K-20260807-103,2026-08-07T19:58:20+03:00,2026-08-07T19:58:20+03:00,new_5000,30,1,1,28,68,68,PASS,0,0,reports/run_2026-08-07_103.md
N5K-20260807-104,2026-08-07T21:00:24+03:00,2026-08-07T21:00:24+03:00,new_5000,30,1,3,26,69,69,PASS,0,0,reports/run_2026-08-07_104.md
N5K-20260807-105,2026-08-07T22:00:52+03:00,2026-08-07T22:00:52+03:00,new_5000,30,1,2,27,70,70,PASS,0,0,reports/run_2026-08-07_105.md
N5K-20260807-106,2026-08-07T22:58:20+03:00,2026-08-07T22:58:20+03:00,new_5000,30,1,0,29,71,71,PASS,0,0,reports/run_2026-08-07_106.md
N5K-20260808-107,2026-08-08T00:00:25+03:00,2026-08-08T00:00:25+03:00,new_5000,30,1,0,29,72,72,PASS,0,0,reports/run_2026-08-08_107.md
N5K-20260808-108,2026-08-08T01:02:20+03:00,2026-08-08T01:02:20+03:00,new_5000,30,1,0,29,73,73,PASS,0,0,reports/run_2026-08-08_108.md
N5K-20260808-109,2026-08-08T02:04:50+03:00,2026-08-08T02:04:50+03:00,new_5000,30,1,2,27,74,74,PASS,0,0,reports/run_2026-08-08_109.md
N5K-20260808-110,2026-08-08T03:04:41+03:00,2026-08-08T03:04:41+03:00,new_5000,30,1,0,29,75,75,PASS,0,0,reports/run_2026-08-08_110.md
N5K-20260808-111,2026-08-08T03:58:41+03:00,2026-08-08T03:58:41+03:00,new_5000,30,2,1,27,77,77,PASS,0,0,reports/run_2026-08-08_111.md
N5K-20260808-112,2026-08-08T04:58:44+03:00,2026-08-08T04:58:44+03:00,new_5000,30,2,1,27,79,79,PASS,0,0,reports/run_2026-08-08_112.md
N5K-20260808-113,2026-08-08T05:59:24+03:00,2026-08-08T05:59:24+03:00,new_5000,30,1,0,29,80,80,PASS,0,0,reports/run_2026-08-08_113.md
N5K-20260808-114,2026-08-08T06:59:48+03:00,2026-08-08T06:59:48+03:00,new_5000,30,1,0,29,81,81,PASS,0,0,reports/run_2026-08-08_114.md
N5K-20260808-115,2026-08-08T08:01:46+03:00,2026-08-08T08:01:46+03:00,new_5000,30,2,0,28,83,83,PASS,0,0,reports/run_2026-08-08_115.md
N5K-20260808-116,2026-08-08T09:01:18+03:00,2026-08-08T09:01:18+03:00,new_5000,30,1,3,26,84,84,PASS,0,0,reports/run_2026-08-08_116.md
N5K-20260808-117,2026-08-08T09:59:44+03:00,2026-08-08T10:01:00+03:00,new_5000,30,1,8,21,85,85,PASS,0,0,reports/run_2026-08-08_117.md
N5K-20260808-118,2026-08-08T11:00:45+03:00,2026-08-08T11:04:00+03:00,new_5000,30,3,7,20,88,88,PASS,0,0,reports/run_2026-08-08_118.md
