lead_id,brand,legal_name,inn,ogrn,revenue_latest,current_stage,exclusion_reason,last_action,source,excluded_at,outreach_status
GR-004,М.Видео,"ПАО М.ВИДЕО",7707602010,5067746789248,324800000000,EXCLUDED,"Публичная компания; не соответствует целевому масштабу консалтингового радара","Ранее завершена финансовая проверка; карточка удалена из ACTIVE WIP","https://www.mvideoeldorado.ru/ru/press-centr/press-relizy/detail/4211",2026-07-20,NOT_SENT
GR-005,Магнит,"ПАО МАГНИТ",2309085638,1032304945947,,EXCLUDED,"Публичная федеральная компания; не соответствует целевому масштабу консалтингового радара","Карточка удалена из ACTIVE WIP","https://www.magnit.com/ru/",2026-07-20,NOT_SENT
GR-006,Street Beat,"ООО РЕИНВЕНТ",7701402303,1147746834300,8780071000,EXCLUDED,"Выручка более 1 млрд рублей; не соответствует целевому масштабу консалтингового радара","Ранее ошибочно присвоен класс B; квалификация отменена","https://companies.rbc.ru/id/1147746834300-ooo-obschestvo-s-ogranichennoj-otvetstvennostyu-reinvent/",2026-07-20,NOT_SENT
GR-007,Аптечная сеть 36,6,"ПАО АПТЕЧНАЯ СЕТЬ 36,6",7722266450,1027722000239,,EXCLUDED,"Публичный эмитент; не соответствует целевому масштабу консалтингового радара","Карточка удалена из ACTIVE WIP","https://www.moex.com/ru/stocks/aptk",2026-07-20,NOT_SENT
GR-008,Gloria Jeans,,, , ,EXCLUDED,"Прямо исключена новым регламентом; не соответствует целевому масштабу консалтингового радара","Статус BLOCKED заменён на EXCLUDED; карточка удалена из ACTIVE WIP","Новый регламент Growth Radar от 20.07.2026",2026-07-20,NOT_SENT
GR-009,М.Косметик,"АО ТАНДЕР",2310031475,1022301598549,,EXCLUDED,"Бренд публичной федеральной группы Магнит; не соответствует целевому масштабу консалтингового радара","Карточка удалена из ACTIVE WIP","https://www.magnit.com/ru/media/press-releases/magnit-zapuskaet-rebrending-seti-magnit-kosmetik/",2026-07-20,NOT_SENT
GR-012,Дымов,"ООО ДЫМОВСКОЕ КОЛБАСНОЕ ПРОИЗВОДСТВО",7731178578,1027700053446,15823937000,EXCLUDED,"Выручка более 1 млрд рублей; не соответствует целевому масштабу консалтингового радара","Ранее ошибочно присвоен класс B; квалификация отменена","https://companies.rbc.ru/id/1027700053446-ooo-dyimovskoe-kolbasnoe-proizvodstvo/",2026-07-20,NOT_SENT
GR-014,Авто.ру,"ООО ЯНДЕКС.ВЕРТИКАЛИ",7704340327,5157746192742,26121892000,EXCLUDED,"Крупная экосистема и выручка более 1 млрд рублей; не соответствует целевому масштабу консалтингового радара","LEGAL MATCH остановлен после обязательного SIZE CHECK; карточка удалена из ACTIVE WIP","https://yandex.ru/project/classifieds/about",2026-07-20,NOT_SENT
GR-015,ПИК / Parametr,"ПАО ПИК-СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК",7713011336,1027739137084,,EXCLUDED,"Публичная федеральная группа; не соответствует целевому масштабу консалтингового радара","Карточка удалена из ACTIVE WIP","https://www.pik.ru/business/prompark",2026-07-20,NOT_SENT
GR-021,СДЭК-Глобал,"ООО СДЭК-Глобал",7722327689,1157746448463,47820000000,EXCLUDED,"Прямо исключён новым регламентом и имеет выручку более 1 млрд рублей; не соответствует целевому масштабу консалтингового радара","Ранее присвоенный класс A и contact-ready статус отменены; ничего не отправлялось","https://partnership.cdek.ru/",2026-07-20,NOT_SENT
GR-022,МойОфис,"ООО НОВЫЕ ОБЛАЧНЫЕ ТЕХНОЛОГИИ",7703807270,1147746237660,1010000000,EXCLUDED,"Прямо исключён новым регламентом; не соответствует целевому масштабу консалтингового радара","Историческая карточка исключена; ничего не отправлялось","https://myoffice.ru/",2026-07-20,NOT_SENT
