type,source,lead_id,details,action
ORPHAN_CONTACT,current:data/increments/contact_routes_2026-07-27_006.csv,GRM-033,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_CONTACT,current:data/increments/contact_routes_2026-07-27_014.csv,GRM-042,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_CONTACT,current:data/increments/contact_routes_2026-07-28_026.csv,GRM-057,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_CONTACT,current:data/increments/contact_routes_2026-07-28_027.csv,GRM-058,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_CONTACT,current:data/increments/contact_routes_2026-07-28_028.csv,GRM-059,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_CONTACT,current:data/increments/contact_routes_2026-07-29_031.csv,GRM-062,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_CONTACT,current:data/increments/contact_routes_2026-07-29_032.csv,GRM-063,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_CONTACT,current:data/increments/contact_routes_2026-07-29_033.csv,GRM-064,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_CONTACT,current:data/increments/contact_routes_2026-07-29_054.csv,GRM-085,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_CONTACT,current:data/increments/contact_routes_2026-07-31_090.csv,GRM-116,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_CONTACT,current:data/increments/contact_routes_2026-07-31_090.csv,GRM-116,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_CONTACT,current:data/increments/contact_routes_2026-07-31_090.csv,GRM-116,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_CONTACT,current:data/increments/contact_routes_2026-07-31_090.csv,GRM-116,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_CONTACT,current:data/increments/contact_routes_2026-07-31_090.csv,GRM-116,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_CONTACT,current:data/increments/contact_routes_2026-07-31_090.csv,GRM-116,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_EVIDENCE,current:data/increments/evidence_2026-07-27_006.csv,GRM-033,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_EVIDENCE,current:data/increments/evidence_2026-07-27_006.csv,GRM-033,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_EVIDENCE,current:data/increments/evidence_2026-07-27_006.csv,GRM-033,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_EVIDENCE,current:data/increments/evidence_2026-07-27_006.csv,GRM-033,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_EVIDENCE,current:data/increments/evidence_2026-07-27_014.csv,GRM-042,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_EVIDENCE,current:data/increments/evidence_2026-07-27_014.csv,GRM-042,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_EVIDENCE,current:data/increments/evidence_2026-07-27_014.csv,GRM-042,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_EVIDENCE,current:data/increments/evidence_2026-07-27_014.csv,GRM-042,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_EVIDENCE,current:data/increments/evidence_2026-07-27_014.csv,GRM-042,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_EVIDENCE,current:data/increments/evidence_2026-07-28_026.csv,GRM-057,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_EVIDENCE,current:data/increments/evidence_2026-07-28_026.csv,GRM-057,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_EVIDENCE,current:data/increments/evidence_2026-07-28_026.csv,GRM-057,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_EVIDENCE,current:data/increments/evidence_2026-07-28_026.csv,GRM-057,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_EVIDENCE,current:data/increments/evidence_2026-07-28_026.csv,GRM-057,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_EVIDENCE,current:data/increments/evidence_2026-07-28_027.csv,GRM-058,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_EVIDENCE,current:data/increments/evidence_2026-07-28_027.csv,GRM-058,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_EVIDENCE,current:data/increments/evidence_2026-07-28_027.csv,GRM-058,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_EVIDENCE,current:data/increments/evidence_2026-07-28_027.csv,GRM-058,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_EVIDENCE,current:data/increments/evidence_2026-07-28_028.csv,GRM-059,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_EVIDENCE,current:data/increments/evidence_2026-07-28_028.csv,GRM-059,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_EVIDENCE,current:data/increments/evidence_2026-07-28_028.csv,GRM-059,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_EVIDENCE,current:data/increments/evidence_2026-07-28_028.csv,GRM-059,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_EVIDENCE,current:data/increments/evidence_2026-07-29_031.csv,GRM-062,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_EVIDENCE,current:data/increments/evidence_2026-07-29_031.csv,GRM-062,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_EVIDENCE,current:data/increments/evidence_2026-07-29_031.csv,GRM-062,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_EVIDENCE,current:data/increments/evidence_2026-07-29_031.csv,GRM-062,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
ORPHAN_EVIDENCE,current:data/increments/evidence_2026-07-29_031.csv,GRM-062,Referenced Lead ID is absent from recovered master,Excluded from canonical file and retained in manual_review
