Run ID,Start Time,End Time,Unique Companies Added,Unique INNs Added,Contacts Found,Contactable Companies,Need Recheck,Reserve,Blocked,Excluded,Total Pool,Remaining To 100,Remaining To 1000,Report,Commit SHA
GR-20260720-001,2026-07-20T15:20:00+03:00,2026-07-20T16:19:00+03:00,10,10,31,7,1,2,0,0,10,90,990,reports/run_2026-07-20_001.md,569bf7885f868af6c15191c25a134e0b54d21f19
GR-20260720-002,2026-07-20T16:19:00+03:00,2026-07-20T18:10:00+03:00,10,10,37,6,2,2,0,0,20,80,980,reports/run_2026-07-20_002.md,1fd3a2d984e8d7d5601ae94a54439e71dd5a4fe6
GR-20260721-003,2026-07-21T08:35:00+03:00,2026-07-21T09:10:00+03:00,5,4,5,2,2,0,0,1,25,75,975,reports/run_2026-07-21_003.md,0f2185a0cf3436c6e48ece3675c05da73c6d29fc
GR-20260726-004,2026-07-26T22:32:00+03:00,2026-07-26T22:45:00+03:00,5,5,5,4,1,0,0,0,30,70,970,reports/run_2026-07-26_004.md,69a7b1c3ee2fbc140717afd3c403170714982527
GR-20260727-005,2026-07-27T01:06:56+04:00,2026-07-27T01:25:00+04:00,2,2,2,2,0,0,0,0,32,68,968,reports/run_2026-07-27_005.md,b730d49ef8ef8171fea6c71127f8673cfd7dd928
GR-20260727-006,2026-07-27T03:09:00+04:00,2026-07-27T03:31:00+04:00,1,1,1,1,0,0,0,0,33,67,967,reports/run_2026-07-27_006.md,d7babd9a72c4f54d7536a3fd181bbc2b3cdb00be
GR-20260727-007,2026-07-27T04:30:00+04:00,2026-07-27T04:45:00+04:00,1,1,1,1,0,0,0,0,34,66,966,reports/run_2026-07-27_007.md,b12e82311bdab8c8322b52d8c1dde99f94155cf2
GR-20260727-008,2026-07-27T06:08:00+04:00,2026-07-27T06:20:00+04:00,1,1,1,0,0,1,0,0,35,65,965,reports/run_2026-07-27_008.md,ad41cdae397ff00e7dd4e1a705d92f186d692b14
GR-20260727-009,2026-07-27T11:27:29+04:00,2026-07-27T11:42:00+04:00,1,1,1,1,0,0,0,0,36,64,964,reports/run_2026-07-27_009.md,ec3156019b0c9a46e16d0f7fd7226d227829c730
GR-20260727-010,2026-07-27T12:14:21+04:00,2026-07-27T12:27:00+04:00,1,1,1,1,0,0,0,0,37,63,963,reports/run_2026-07-27_010.md,da883f470ef0f51ab4fe9e72ec666a55a5843dbc
GR-20260727-011,2026-07-27T14:03:00+04:00,2026-07-27T14:30:00+04:00,2,2,2,2,0,0,0,0,39,61,961,reports/run_2026-07-27_011.md,c5cec40156f94be6945d73f6d814a079b3a06e8d
GR-20260727-012,2026-07-27T15:09:03+04:00,2026-07-27T15:35:00+04:00,1,1,1,1,0,0,0,0,40,60,960,reports/run_2026-07-27_012.md,4c3d05ec90463625c022a59611dca94036204871
