company,score,signals,events_count,reason,latest_title,latest_url,status
target=,75,"expansion, franchise, marketing_hire",10,"Обнаружено событий: 10; сигналы: expansion, franchise, marketing_hire.",Новая франшиза по God of War с Фэй обрастает слухами - Igromania.ru,https://news.google.com/rss/articles/CBMizAFBVV95cUxOejE0Tkc1Y1IyMVJtb0Jpbnk3WFc2MXZMZUk1MFFVVURQMG56U2d0elNhOTJJbWwwbF9LZzVvV0M0ZjJsLU80WXFGODRwT2phSDFYbVEwak9INjZYQTVUTXhlSUt2TWJXT0VWSEM0QXpzVUZKSV8zSWJwNWxhRG9LX0pKaTM4WEYxSFBzSVNZdEVCRFYxUXJ4UUlsM09yenM5OTVjNWZGbTlHbl9jV1FfZklVNnZIUVFyMF9rNGtEaVdnZDF3VWppa2Z6eHo?oc=5,new
Street Beat,45,expansion,3,Обнаружено событий: 3; сигналы: expansion.,Street Beat расширяет сеть с детской секцией - profashion.ru,https://news.google.com/rss/articles/CBMif0FVX3lxTFBTblBtaUljTmpxeWFFRUZWQ0xRWlhaRUZkWkt0ZVRVS0FOMzl6emo1Wkk2VkNTZHA0TVNodlJCeUx5MVExOEpyd1BGQjFtVDZTOS1xUVFTRlJpVzA1V2hMQ0J4Y0JEMklTckJNR0JqeC1QbFU1S19zT3JmbVdHc2c?oc=5,new
Новый маршрут в Шанхай,30,marketing_hire,1,Обнаружено событий: 1; сигналы: marketing_hire.,Новый маршрут в Шанхай расширяет сеть Air Astana - DKNews.kz,https://news.google.com/rss/articles/CBMimAFBVV95cUxPTURWdWUtTWtkb0kwbE1Fc2VsalRjczhXNENOSk9MTnhReHlkUHVpREJySkw1cmRsYy1oTkZvZGI5TTJOeGlidlI1andUNkk5eW5KN19MLWtTcHhaVEVETzhMT1RNcDhiV2E3ZmRUeVhydnBYNjNpUVpUMlZtOWw3anYtLVdWcmo0S2tPR2kwNEJKVDRidnhMcw?oc=5,new
Карты жителя,25,expansion,1,Обнаружено событий: 1; сигналы: expansion.,ПСБ в Ярославской области расширяет сеть партнеров «Карты жителя» - Углич-Онлайн,https://news.google.com/rss/articles/CBMi2wFBVV95cUxPaGoxUG50NEVXeHlXVU16ellpSGp1bi1LMmFEYldRQlZhb2JNeUNNNFcxazdvV09zdmlON3J6WlBjMEtMYmJZWThkaTkzaHB4UDBZdTJjai1mcERCQzMwSldWT2ZyVWRPeE0tbkFGQWFUR2FJLXlHTncwbU9PQVV4YU52TnN6NmhVNU8yRllYQmZNYnlPY2RIQUZiUFlOdHg3YTZjSzRnMFBhLTNoS040WXRTQUw4ZjFBMlFCTXZuTUxlMG4ydXJvVEZSZjkzRENHeU10MGxtX2xGemM?oc=5,new
Франция,25,expansion,1,Обнаружено событий: 1; сигналы: expansion.,Франция расширяет сеть морских заповедников в рамках программы ООН по защите Мирового океана - RFI,https://news.google.com/rss/articles/CBMijwZBVV95cUxNLXVNdWVoazNTbWJMRlpwZW05NlRSM0ZYaEk4QkVmanNIWFA2QlozQWtpbWdRNlpTTkRadE1DaTRBT3lfTkVUbkYwcVUwSTIxcXBIQm0xb2dWMDhPRVc5UlZtXy1kaUlOazRUNFVXTEtPR3BzVUplQjJ1MTQ2Nnl1bEk2d21BYmVZU2J6ZnYzaDBJT2sxQkE0TWxEam83eUdHNFJMWnVnT2FTTzBRd1BqUW9pZ09BUlZRdlJJVFBVQThRQjZWN25aZTZBbmxRMGQtUkJ0RHV1bUs5bmxKdDJzeUVLTEJMZHJucnlhRW53S2s4N09HWTFLSzU1WVhUSHRIZC1heU1WNDlXOXJwWDFpV09nRDlCYmRiaW41aTJ3MG45MldZQ0RXaDlSRDVWY0g5Z2F5SFZjNVBDVEI4bllaa1pyUlVYdVp6SkVkcF84bnU3UkVMQmoxVGhGT2RHTFBKWE5pOGtsOXVfUU5XR0ozRzNxMmJENGc4UmFVOTg4MmFsempPZEt2aFlQT09qQ0xJdUp4UHNtcUZYaE5hY3ZpUjgtUWtaMHNsTldMSzlZZDFlQUo3c2t5Ym5vS2pVUWFJWktHNGdJRWU0cEx5SUFXMEhieXRKdzdOdko1NDdBZHVwUnpKMm9LQjd5XzBrTGE0akdEX3VDVVprNEZzSTMtcU9DNlN5dE1WS0dyM3NxNmUxMTRMUjJrVDNpd0RMMHVXZnNONzVCV3ZUemY4Q1pwbkJUNk9nRk12NGxoellDMzBHUF8wRkhzSmZHNW1OdUtSbGRzbGxTTnZ6a21CdzJRVnlVMUtDemk0YnRsQjFuWmEyQnYyb0Z2YU01NUVDbTRhUjlqQ2pxbGpDZVFMSEdCZDkzblBjQmJqVjhVZ0tkR25VUkszbm1oLTg2S2x1WHhYWmg3WEgzN0d0WnFlTU4zSm1QX1ZVaXZlUjNlTVdPUTJfWlE1MzRWZkkySGgtcUU2U0hsN1VFTkNQSDVSZUVqNng3MGl4cHpEb3lTSkVHa1kwMy1wSS16YlBxeW00TUU?oc=5,new
WB Travel,25,expansion,1,Обнаружено событий: 1; сигналы: expansion.,WB Travel расширяет сеть отелей в Турции - hoteliernews.ru,https://news.google.com/rss/articles/CBMidkFVX3lxTE9Xa2VzS2NaVGFkOThoNGUzM2d2Q2pTeFRkbXRhWC16R1hIaWxvTHlKa0hNdENuNEg1aFhpVFA0eUkzQlhFNUdnS240T3JnOUdPMmVOSFFjei1iZFpkNEFPTVE5WHJNZ3hCSzBkRGlrYWhXMVc2WlE?oc=5,new
ЭКО Маркет,25,expansion,1,Обнаружено событий: 1; сигналы: expansion.,«ЭКО Маркет» расширяет сеть в Чернигове под руководством новой СЕО - All Retail,https://news.google.com/rss/articles/CBMiowFBVV95cUxOQ21ZRFlnUXlNb0ROVDdpd3hyS1JIVVpLczE1dkI1RldnX2pvNU9QOTJTZ3M3ZkV3VFFNMjJZZGdMUmZTTWRBYWtnOXVWME1ZQUFwUzdGb1c3QlhOVTNUQWxER2lVY3FxX2lmMWZTWGRzZ3lXYkpjbVhuY0IwSXlDLWFrNzZLU1ZPWWowSWRFOUd5M1BRbEgwbkdPTVNxVjlaR3pr0gGiAUFVX3lxTE5qamxLNFQxMnRLdkpVcjZGSmFkMVB6LW96dWlNTE05Tjk4TFpORWJsR2FDV3VjWTV1MkdhWjZYaW11ZnhwRjUwbE9ILW5JM2NJSWktZnBKMDFSLTRVbkJwc3FGYWVPYnJDRWJmOE5HVVd0NXdLU3lGT3NMaTVWMHE0WHBxYnluNE4tSkRYR05Xb2pYbFNzNHRjM2FhUVhFM01ZZw?oc=5,new
МегаФон Таджикистан,25,expansion,1,Обнаружено событий: 1; сигналы: expansion.,"Плюс 11: «МегаФон Таджикистан» расширяет сеть офисов обслуживания абонентов - АМИТ ""Ховар""",https://news.google.com/rss/articles/CBMirAFBVV95cUxPcnpBVHJEdnlJNzN1cFZSSHhBVXF2aUNEbGZRVFZvTHlZSkxOUHVSMmRZM1RobmJkbnc4THhLU0FwTW4tWkNfTmVCeE9Vbk9WZjRhekwzY0J0X3JKek95Z3F1aEJVR21jbW1Ld1lhVjJWOHRZTlhoSFdXZFlzaUs4YzBERjdzblIwMHV1alFSRS1QbVlXNkZrQWMwN2FvUWlfVVVuTDRXV3Nha0FP?oc=5,new
Александр Ванюшкин: ВТБ,25,expansion,1,Обнаружено событий: 1; сигналы: expansion.,Александр Ванюшкин: ВТБ расширяет сеть и делает акцент на персональный подход - DK.RU,https://news.google.com/rss/articles/CBMiUkFVX3lxTE1QWjZDcjFWNTZmZXBraEJhRGVzdE0zUHUtY1NlZHFjMEFZZjZpYVRPV1RwZmgwQko1ekg1eXFmQjlwbXRJU0lPT0RxeGtmY0ZKdFHSAVdBVV95cUxOdU40QngzTEMyNHVqUl9zV3YwVWwwRHJNV1c1aEZFNDRVVHh2bThwa2ZqOTljZnAybDg4a3lWX0g1OGFoN3dZU2tEbmRINW9ra0ZpX1dRTGM?oc=5,new
ВТБ,25,expansion,1,Обнаружено событий: 1; сигналы: expansion.,ВТБ расширяет сеть отделений в Ленинградской области - spbdnevnik.ru,https://news.google.com/rss/articles/CBMilgFBVV95cUxNZ2k2d3hOblo3TlBTTUIxbkkwQ1BrM2VHV3BMWjZhLWxfcEI5ajNzeklBZ0Etb2lwZjRucDhzSVgxQVotbGFTM2VtbU5rNm5na21YV0F1aF9ESGY4NjUxbzUxMzJkNERKR3RYeG51QVg3YmdXMzBhUVlnSDd4aGJqaEJuenFJVi1CNFRjeGxPY2VMZ2t4WGc?oc=5,new
